STAID,lat,lon,AreaSqKm,DRAIN_SQKM,year,defol_mean,ref_gage
01094400,42.576201,-71.788129,114.11,166.1607,2015,-0.32290959181379,FALSE
01094500,42.501758,-71.722571,118.21,279.657,2015,-0.302861352021434,FALSE
01095220,42.410925,-71.791183,101.81,78.68936,2015,-0.175276161920683,FALSE
01095375,42.37287,-71.828128,148.15,115.1919,2015,-0.231649854663117,FALSE
01097000,42.432038,-71.449785,106.79,299.3094,2015,-0.2911993383984,FALSE
01097300,42.512593,-71.404228,121.1,30.8718,2015,-0.359074843371432,FALSE
01098530,42.325373,-71.397561,108.74,274.2327,2015,-0.386867156571874,FALSE
01099500,42.636758,-71.302005,85.56,1035.51,2015,-0.571914860764821,FALSE
01100600,42.568149,-71.214779,89.35,96.4215,2015,-0.629914103054943,FALSE
01100627,42.671481,-71.149224,42.29,173.1114,2015,-0.60307413863733,FALSE
01101000,42.752869,-70.94561,56.23,55.4778,2015,-0.399215345977566,FALSE
01101500,42.569539,-71.026997,88.13,115.2826,2015,-0.45250412920974,FALSE
01102000,42.659816,-70.893662,133.75,316.4265,2015,-0.361798726102388,FALSE
01102345,42.46954,-71.006995,71.36,60.3816,2015,-0.559670912140306,FALSE
01102500,42.447318,-71.138943,65.32,59.74671,2015,-0.47132575726501,FALSE
01103025,42.407041,-71.133942,106.24,21.5235,2015,-0.553516474624969,FALSE
01103280,42.13982,-71.389503,94.63,169.119,2015,-0.519102783592849,FALSE
01103455,42.25399,-71.29339,86.57,9.7065,2015,-0.325294104479338,FALSE
01104200,42.316486,-71.227833,136.42,548.3745,2015,-0.431223382148623,FALSE
01104430,42.398151,-71.27339,61.22,17.4951,2015,-0.43743466431155,FALSE
01105000,42.177599,-71.200886,113.94,84.8778,2015,-0.372968946287412,FALSE
01105500,42.154544,-71.145884,74.25,60.7122,2015,-0.449885822866715,FALSE
01105554,42.209266,-71.145885,115.14,220.7016,2015,-0.411441378652322,FALSE
01105583,42.220933,-70.978103,117.87,73.5768,2015,-0.435469656230797,FALSE
01105600,42.190378,-70.944768,47.68,12.6603,2015,-0.372563727206367,FALSE
01105638,42.23482,-70.87199,86.52,39.2292,2015,-0.514706556014355,FALSE
01105730,42.100657,-70.822541,125.5,79.5672,2015,-0.195359270051145,FALSE
01105870,41.990936,-70.733649,79.1,55.1439,2015,-0.291154834055362,FALSE
01105876,41.94177,-70.622534,182.99,34.9497,2015,-0.45261816088743,FALSE
01105880,41.700111,-70.106962,1526.68,25.5222,2015,-0.117925167226057,FALSE
01105917,41.662604,-70.83837,127.21,61.272,2015,-0.66127108222329,FALSE
01105933,41.585382,-70.990317,110.7,68.0985,2015,-0.947461534253147,FALSE
01108000,41.93399,-70.956431,155.89,677.6388,2015,-0.419691861249475,FALSE
01108410,41.899823,-71.08949,116.72,122.022,2015,-0.505881954302208,FALSE
01109000,41.9476,-71.176716,112.98,112.7429,2015,-0.741136065456042,FALSE
01109060,41.866212,-71.122824,107.91,220.1049,2015,-0.607828936406208,FALSE
01109070,41.840379,-71.142824,134.44,27.1674,2015,-0.74013450836408,FALSE
01109403,41.830934,-71.351165,144.27,137.592,2015,-0.59082662434557,FALSE
01109730,42.188984,-71.76507,100.42,185.7519,2015,-0.384963431243254,FALSE
01110000,42.230372,-71.710902,97.99,66.08279,2015,-0.321401631492722,FALSE
01111200,42.104819,-71.607287,96.03,72.3798,2015,-0.24949237300037,FALSE
01111212,42.05482,-71.616454,88.74,631.4301,2015,-0.373629774086675,FALSE
01111300,41.981209,-71.685901,117.32,41.0625,2015,-0.136130561927566,FALSE
01111500,41.996487,-71.562563,68.87,237.2391,2015,-0.515086558370007,FALSE
01112500,42.006209,-71.503117,108.62,1047.424,2015,-0.536588416475222,FALSE
01114000,41.833989,-71.411168,59.72,60.42774,2015,-0.473043808137034,FALSE
01114500,41.858988,-71.487282,132.49,98.8735,2015,-0.494379627548153,FALSE
01115098,41.852599,-71.606175,57.43,13.3569,2015,-0.31481223189246,FALSE
01115187,41.81871,-71.705068,85.35,38.8251,2015,-0.155146909149205,FALSE
01115630,41.626767,-71.632565,73.4,21.7368,2015,-0.130527062859256,FALSE
01116000,41.6901,-71.565896,43.08,168.2577,2015,-0.410072279675259,FALSE
01116500,41.750934,-71.445058,79.01,525.0195,2015,-0.561164207699384,FALSE
01116905,41.63,-71.478889,64.08,40.7619,2015,-0.379126708406036,FALSE
01117350,41.482323,-71.551172,66.57,25.2135,2015,-0.384221374929879,FALSE
01117370,41.53899,-71.568673,94.43,50.4774,2015,-0.23771802453452,FALSE
01117430,41.446212,-71.621174,54.93,189.0441,2015,-0.251330189777832,FALSE
01117468,41.4926,-71.628119,31.97,25.3413,2015,-0.160419143625279,TRUE
01117500,41.4451,-71.680898,147.71,260.4375,2015,-0.213293131609541,FALSE
01117800,41.573988,-71.720623,158.13,90.76591,2015,-0.104273133026666,TRUE
01118000,41.498155,-71.716456,74.09,193.2111,2015,-0.117621352735343,FALSE
01118300,41.474821,-71.834237,72.16,10.3644,2015,-0.148542477010459,TRUE
01118500,41.383711,-71.833125,41.06,765.774,2015,-0.554831147322268,FALSE
01119500,41.750654,-72.265635,146.34,314.8461,2015,-0.095471110625261,FALSE
01121000,41.843709,-72.168966,94.84,70.25372,2015,0.032445914521989,TRUE
01122000,41.719821,-72.195634,110.99,453.2904,2015,-0.061912894979479,FALSE
01122500,41.700376,-72.182022,157.6,1048.47,2015,-0.091711985251438,FALSE
01123000,41.671765,-72.052298,112.1,77.85271,2015,-0.054860042183236,TRUE
01123360,42.108706,-72.123688,107.16,162.2727,2015,-0.214537733614954,FALSE
01124000,42.022319,-71.955629,63.37,392.0004,2015,-0.134100348457559,FALSE
01124151,41.943431,-71.90035,107.44,433.9116,2015,-0.285406698137018,FALSE
01125100,41.97815,-71.90035,52.61,262.3277,2015,-0.180650013052741,FALSE
01127000,41.597876,-71.984242,139.51,1838.699,2015,-0.115290313832971,FALSE
01127500,41.558709,-72.121467,130.94,230.7345,2015,-0.13350604169497,FALSE
01169900,42.54203,-72.693702,68.11,62.30875,2015,-0.025460011419483,FALSE
01170000,42.535919,-72.653423,129.09,1451.378,2015,-0.130641245197079,FALSE
01170500,42.578697,-72.574533,123.56,20389.69,2015,-0.194007844124011,FALSE
01171500,42.318978,-72.665091,147.85,139.7872,2015,-0.10505068446299,FALSE
01172500,42.42509,-72.024521,137.05,142.6932,2015,-0.114460055640371,FALSE
01173500,42.236204,-72.272581,115.95,510.3333,2015,-0.135201778407296,FALSE
01174500,42.393424,-72.238693,113.06,113.0355,2015,-0.058225233572182,FALSE
01174565,42.455089,-72.381752,150.94,32.994,2015,-0.311801746765053,FALSE
01175670,42.265092,-72.004797,106.63,23.9517,2015,-0.203624932310565,FALSE
01176000,42.182316,-72.263691,112.53,387.1593,2015,-0.042273975689495,FALSE
01177000,42.160649,-72.513976,150.23,1785.374,2015,-0.428883643225461,FALSE
01179500,42.287867,-72.864264,156.51,422.1324,2015,-0.068840910496172,FALSE
01181000,42.237312,-72.895654,108.7,243.495,2015,-0.075249673497102,TRUE
01183500,42.10676,-72.698981,110.11,1292.801,2015,-0.36804788489776,FALSE
01184000,41.987319,-72.605367,108.28,25049.46,2015,-0.35487875505009,FALSE
01184100,41.960652,-72.710371,63.42,24.64571,2015,-0.334625880390925,FALSE
01184490,41.913889,-72.55,40.87,38.06368,2015,-0.27493156154274,FALSE
01185500,42.079259,-73.072884,152.24,237.4254,2015,-0.049833157814255,FALSE
01186500,41.967317,-73.033996,46.36,221.4873,2015,-0.105561302166114,FALSE
01187300,42.037316,-72.938991,54.11,53.919,2015,0.002017801980282,TRUE
01187800,41.820653,-72.970104,82.82,61.5744,2015,-0.124862056620197,FALSE
01188000,41.786209,-72.964826,96.35,10.6235,2015,-0.252775803337962,TRUE
01189000,41.673154,-72.900657,101.26,116.4466,2015,-0.349817626350262,FALSE
01189995,41.908431,-72.760651,139.11,1492.974,2015,-0.251368483049557,FALSE
01192500,41.783155,-72.587311,115.71,190.6678,2015,-0.362237658468118,FALSE
01192883,41.520098,-72.705929,100.86,77.8588,2015,-0.375619902154476,FALSE
01193500,41.552321,-72.449253,87.42,271.2563,2015,-0.033929240356138,TRUE
01194000,41.44177,-72.33286,103.26,52.3116,2015,0.017630274528013,FALSE
01194500,41.427876,-72.33425,58.36,58.1454,2015,-0.024462536099871,TRUE
01195100,41.305932,-72.531201,102.37,14.8383,2015,-0.454583917171998,TRUE
01195490,41.601765,-72.883713,155.5,47.5542,2015,-0.541975596815985,FALSE
01196500,41.449542,-72.840934,126.01,285.7488,2015,-0.501171903207799,FALSE
01196561,41.43565,-72.77926,56.44,22.0257,2015,-0.463616521720492,FALSE
01196620,41.420931,-72.90288,99.5,63.81,2015,-0.262462546735199,FALSE
01197000,42.469529,-73.196492,127.98,149.5539,2015,-0.146094479480166,FALSE
01197500,42.232033,-73.354833,137.23,732.8628,2015,-0.081212578549518,FALSE
01198000,42.192034,-73.390669,137.84,132.2276,2015,-0.117751006729601,TRUE
01198125,42.074814,-73.333449,110.94,1210.621,2015,-0.134582385671164,FALSE
01199000,41.957316,-73.369286,110.14,1643.036,2015,-0.119487627969849,FALSE
01199050,41.942316,-73.390953,98.47,76.0986,2015,-0.136383529571977,FALSE
01202501,41.719263,-73.292895,105.41,99.612,2015,-0.177341858476294,FALSE
01203510,41.42037,-73.28234,67.66,64.6902,2015,-0.202191819742786,FALSE
01203600,41.575652,-73.178724,70.2,45.8748,2015,-0.259788741743561,FALSE
01203805,41.557596,-73.215114,70.11,70.0848,2015,-0.159258412746305,FALSE
01204000,41.480651,-73.224559,90.2,195.2595,2015,-0.14791564548661,FALSE
01205500,41.383985,-73.167612,131.6,3998.594,2015,-0.192785687506615,FALSE
01206900,41.673708,-73.069553,116.12,260.7732,2015,-0.141389730796563,FALSE
01208500,41.442319,-73.062608,132.31,674.4304,2015,-0.227129373421962,FALSE
01208873,41.179819,-73.219002,131.77,26.03027,2015,-0.508791832707204,FALSE
01208925,41.165652,-73.270393,84.89,74.5146,2015,-0.219934090852475,FALSE
01208990,41.29454,-73.39512,115.25,53.77249,2015,-0.103994903783029,TRUE
01094400,42.576201,-71.788129,114.11,166.1607,2016,-0.175946311665158,FALSE
01094500,42.501758,-71.722571,118.21,279.657,2016,-0.132753948337787,FALSE
01095220,42.410925,-71.791183,101.81,78.68936,2016,-0.107475432772735,FALSE
01095375,42.37287,-71.828128,148.15,115.1919,2016,-0.117993775601024,FALSE
01097000,42.432038,-71.449785,106.79,299.3094,2016,-0.173068993019704,FALSE
01097300,42.512593,-71.404228,121.1,30.8718,2016,-0.274086535175581,FALSE
01098530,42.325373,-71.397561,108.74,274.2327,2016,-0.260269551249635,FALSE
01099500,42.636758,-71.302005,85.56,1035.51,2016,-0.320454797143498,FALSE
01100600,42.568149,-71.214779,89.35,96.4215,2016,-0.427221044383109,FALSE
01100627,42.671481,-71.149224,42.29,173.1114,2016,-0.365664896264057,FALSE
01101000,42.752869,-70.94561,56.23,55.4778,2016,-0.294859608550867,FALSE
01101500,42.569539,-71.026997,88.13,115.2826,2016,-0.21202156337102,FALSE
01102000,42.659816,-70.893662,133.75,316.4265,2016,-0.370454450080324,FALSE
01102345,42.46954,-71.006995,71.36,60.3816,2016,-0.309826147098419,FALSE
01102500,42.447318,-71.138943,65.32,59.74671,2016,-0.393059929669361,FALSE
01103025,42.407041,-71.133942,106.24,21.5235,2016,-0.258749719074129,FALSE
01103280,42.13982,-71.389503,94.63,169.119,2016,-0.585537673169861,FALSE
01103455,42.25399,-71.29339,86.57,9.7065,2016,-0.217232942290513,FALSE
01104200,42.316486,-71.227833,136.42,548.3745,2016,-0.272137490896739,FALSE
01104430,42.398151,-71.27339,61.22,17.4951,2016,-0.441774036455212,FALSE
01105000,42.177599,-71.200886,113.94,84.8778,2016,-0.279437721045179,FALSE
01105500,42.154544,-71.145884,74.25,60.7122,2016,-0.563001124428827,FALSE
01105554,42.209266,-71.145885,115.14,220.7016,2016,-0.240861194820071,FALSE
01105583,42.220933,-70.978103,117.87,73.5768,2016,-0.174112164662273,FALSE
01105600,42.190378,-70.944768,47.68,12.6603,2016,-0.287226916617739,FALSE
01105638,42.23482,-70.87199,86.52,39.2292,2016,-0.417098231799039,FALSE
01105730,42.100657,-70.822541,125.5,79.5672,2016,-0.248779291899211,FALSE
01105870,41.990936,-70.733649,79.1,55.1439,2016,-0.457151836679774,FALSE
01105876,41.94177,-70.622534,182.99,34.9497,2016,-0.87666474193745,FALSE
01105880,41.700111,-70.106962,1526.68,25.5222,2016,-0.410686105574722,FALSE
01105917,41.662604,-70.83837,127.21,61.272,2016,-0.229324745792569,FALSE
01105933,41.585382,-70.990317,110.7,68.0985,2016,-0.88548434537544,FALSE
01108000,41.93399,-70.956431,155.89,677.6388,2016,-0.312884725797441,FALSE
01108410,41.899823,-71.08949,116.72,122.022,2016,-0.634086192315543,FALSE
01109000,41.9476,-71.176716,112.98,112.7429,2016,-0.987592715088257,FALSE
01109060,41.866212,-71.122824,107.91,220.1049,2016,-0.597211777637831,FALSE
01109070,41.840379,-71.142824,134.44,27.1674,2016,-0.603063253319699,FALSE
01109403,41.830934,-71.351165,144.27,137.592,2016,-0.616991829462113,FALSE
01109730,42.188984,-71.76507,100.42,185.7519,2016,-0.068847485037907,FALSE
01110000,42.230372,-71.710902,97.99,66.08279,2016,-0.233656203812397,FALSE
01111200,42.104819,-71.607287,96.03,72.3798,2016,-0.8337227901851,FALSE
01111212,42.05482,-71.616454,88.74,631.4301,2016,-1.992385959283765,FALSE
01111300,41.981209,-71.685901,117.32,41.0625,2016,-1.540998294369008,FALSE
01111500,41.996487,-71.562563,68.87,237.2391,2016,-2.587135543671922,FALSE
01112500,42.006209,-71.503117,108.62,1047.424,2016,-1.020168977273939,FALSE
01114000,41.833989,-71.411168,59.72,60.42774,2016,-0.353917326581078,FALSE
01114500,41.858988,-71.487282,132.49,98.8735,2016,-1.669865946770778,FALSE
01115098,41.852599,-71.606175,57.43,13.3569,2016,-2.463906223226164,FALSE
01115187,41.81871,-71.705068,85.35,38.8251,2016,-2.198037048619988,FALSE
01115630,41.626767,-71.632565,73.4,21.7368,2016,-2.078737737584952,FALSE
01116000,41.6901,-71.565896,43.08,168.2577,2016,-0.733123143329928,FALSE
01116500,41.750934,-71.445058,79.01,525.0195,2016,-0.273253370263233,FALSE
01116905,41.63,-71.478889,64.08,40.7619,2016,-0.814848363582223,FALSE
01117350,41.482323,-71.551172,66.57,25.2135,2016,-1.288250238373282,FALSE
01117370,41.53899,-71.568673,94.43,50.4774,2016,-2.217925640158788,FALSE
01117430,41.446212,-71.621174,54.93,189.0441,2016,-1.85950196699525,FALSE
01117468,41.4926,-71.628119,31.97,25.3413,2016,-2.021107616223324,TRUE
01117500,41.4451,-71.680898,147.71,260.4375,2016,-1.240044899203315,FALSE
01117800,41.573988,-71.720623,158.13,90.76591,2016,-1.76528582121819,TRUE
01118000,41.498155,-71.716456,74.09,193.2111,2016,-2.029387673910279,FALSE
01118300,41.474821,-71.834237,72.16,10.3644,2016,-1.430990768001566,TRUE
01118500,41.383711,-71.833125,41.06,765.774,2016,-1.125425716760311,FALSE
01119500,41.750654,-72.265635,146.34,314.8461,2016,-0.059119099788901,FALSE
01121000,41.843709,-72.168966,94.84,70.25372,2016,-0.004876506376407,TRUE
01122000,41.719821,-72.195634,110.99,453.2904,2016,-0.289591941166682,FALSE
01122500,41.700376,-72.182022,157.6,1048.47,2016,-0.148247989345067,FALSE
01123000,41.671765,-72.052298,112.1,77.85271,2016,-0.638960870369496,TRUE
01123360,42.108706,-72.123688,107.16,162.2727,2016,-0.476910851914976,FALSE
01124000,42.022319,-71.955629,63.37,392.0004,2016,-0.075919713523937,FALSE
01124151,41.943431,-71.90035,107.44,433.9116,2016,-0.329821423953726,FALSE
01125100,41.97815,-71.90035,52.61,262.3277,2016,-0.15403320913615,FALSE
01127000,41.597876,-71.984242,139.51,1838.699,2016,-1.034707707363626,FALSE
01127500,41.558709,-72.121467,130.94,230.7345,2016,-0.186914028286957,FALSE
01169900,42.54203,-72.693702,68.11,62.30875,2016,0.023733777400769,FALSE
01170000,42.535919,-72.653423,129.09,1451.378,2016,0.003505813351443,FALSE
01170500,42.578697,-72.574533,123.56,20389.69,2016,-0.052902151225946,FALSE
01171500,42.318978,-72.665091,147.85,139.7872,2016,-0.056664580386129,FALSE
01172500,42.42509,-72.024521,137.05,142.6932,2016,-0.097294665279125,FALSE
01173500,42.236204,-72.272581,115.95,510.3333,2016,-0.224085704641309,FALSE
01174500,42.393424,-72.238693,113.06,113.0355,2016,-0.069319003578293,FALSE
01174565,42.455089,-72.381752,150.94,32.994,2016,-0.158128221434644,FALSE
01175670,42.265092,-72.004797,106.63,23.9517,2016,-0.123017928165717,FALSE
01176000,42.182316,-72.263691,112.53,387.1593,2016,-0.303486006502814,FALSE
01177000,42.160649,-72.513976,150.23,1785.374,2016,-0.244095920976598,FALSE
01179500,42.287867,-72.864264,156.51,422.1324,2016,0.02449667151028,FALSE
01181000,42.237312,-72.895654,108.7,243.495,2016,-0.007256478948156,TRUE
01183500,42.10676,-72.698981,110.11,1292.801,2016,-0.17830167119331,FALSE
01184000,41.987319,-72.605367,108.28,25049.46,2016,-0.175397668364948,FALSE
01184100,41.960652,-72.710371,63.42,24.64571,2016,-0.234283247154609,FALSE
01184490,41.913889,-72.55,40.87,38.06368,2016,-0.651337557200544,FALSE
01185500,42.079259,-73.072884,152.24,237.4254,2016,-0.014493922078262,FALSE
01186500,41.967317,-73.033996,46.36,221.4873,2016,-0.070396955547625,FALSE
01187300,42.037316,-72.938991,54.11,53.919,2016,0.067611389642405,TRUE
01187800,41.820653,-72.970104,82.82,61.5744,2016,-0.133332786260154,FALSE
01188000,41.786209,-72.964826,96.35,10.6235,2016,-0.188564983549689,TRUE
01189000,41.673154,-72.900657,101.26,116.4466,2016,-0.208745631533662,FALSE
01189995,41.908431,-72.760651,139.11,1492.974,2016,-0.1396464662832,FALSE
01192500,41.783155,-72.587311,115.71,190.6678,2016,-0.1253477481503,FALSE
01192883,41.520098,-72.705929,100.86,77.8588,2016,-0.538343336919065,FALSE
01193500,41.552321,-72.449253,87.42,271.2563,2016,-0.182452743059916,TRUE
01194000,41.44177,-72.33286,103.26,52.3116,2016,-0.671473949368996,FALSE
01194500,41.427876,-72.33425,58.36,58.1454,2016,-0.656481188236367,TRUE
01195100,41.305932,-72.531201,102.37,14.8383,2016,-0.241448033212473,TRUE
01195490,41.601765,-72.883713,155.5,47.5542,2016,-0.290986243527601,FALSE
01196500,41.449542,-72.840934,126.01,285.7488,2016,-0.360281571052129,FALSE
01196561,41.43565,-72.77926,56.44,22.0257,2016,-0.349895901474422,FALSE
01196620,41.420931,-72.90288,99.5,63.81,2016,-0.266094846687533,FALSE
01197000,42.469529,-73.196492,127.98,149.5539,2016,0.018776925041554,FALSE
01197500,42.232033,-73.354833,137.23,732.8628,2016,-0.001792934038684,FALSE
01198000,42.192034,-73.390669,137.84,132.2276,2016,0.004865126519335,TRUE
01198125,42.074814,-73.333449,110.94,1210.621,2016,-0.026097820447237,FALSE
01199000,41.957316,-73.369286,110.14,1643.036,2016,-0.03347688386734,FALSE
01199050,41.942316,-73.390953,98.47,76.0986,2016,-0.046894101365053,FALSE
01202501,41.719263,-73.292895,105.41,99.612,2016,-0.0629846164423,FALSE
01203510,41.42037,-73.28234,67.66,64.6902,2016,-0.195387002241367,FALSE
01203600,41.575652,-73.178724,70.2,45.8748,2016,-0.20052973695079301,FALSE
01203805,41.557596,-73.215114,70.11,70.0848,2016,-0.104736660490679,FALSE
01204000,41.480651,-73.224559,90.2,195.2595,2016,-0.157550661886185,FALSE
01205500,41.383985,-73.167612,131.6,3998.594,2016,-0.169666695251363,FALSE
01206900,41.673708,-73.069553,116.12,260.7732,2016,-0.145470077629365,FALSE
01208500,41.442319,-73.062608,132.31,674.4304,2016,-0.306313837144789,FALSE
01208873,41.179819,-73.219002,131.77,26.03027,2016,-0.401468412263094,FALSE
01208925,41.165652,-73.270393,84.89,74.5146,2016,-0.165551607966192,FALSE
